candidate_id,district,lat,lon,original_lat,original_lon,priority_level,priority_score,gnn_probability,reward_signal,score_drop_penalty,low_impact_penalty,water_penalty,remote_penalty,is_water_cell,is_remote_cell,topo_nearest_m,effective_walk_dist_m,nearest_stop_dist_m,cell_population,terrain_penalty,nearest_ramp_dist_m,road_node,road_connector_m
CAND_0026,Yuen Long,22.4688685,114.0704227,22.46822000000009,114.07023000000092,Medium Priority,0.19150009908849108,0.7548958659172058,0.3818547898903385,0.0,0.09676125807627456,0.0,0.0,0,0,117.29147337069718,3632.962885192461,1986.6291150552984,46.31055390695579,1.8287071591072177,3519.369242597852,2146400013,74.7790554842214
CAND_0027,Central & Western,22.2700601,114.1603506,22.271080000000023,114.16187000000023,Medium Priority,0.19094456720173147,0.699852466583252,0.41075087077425587,0.0,0.09652114271331663,0.0,0.0,0,0,122.15920976717577,3635.574830213811,1565.0587240648351,73.89168579473765,2.3229638443031364,1968.4653048320324,8050584899,193.14656759144953
CAND_0028,Sha Tin,22.3823781,114.2217214,22.384170000000047,114.2213100000004,Medium Priority,0.1894999046511014,0.6740602254867554,0.42541703309257284,0.0,0.09725747066141023,0.0,0.0,0,0,47.17749928290926,3627.565146475078,1991.5973008626252,93.4099083406983,1.8214350586355292,2368.2394820893305,11583976498,203.69055620288609
CAND_0029,Wan Chai,22.2702263,114.2016024,22.269040000000015,114.20016000000018,Medium Priority,0.17331986631031165,0.678245484828949,0.42726494272240495,0.0,0.11647133016234379,0.0,0.0,0,0,95.97745241276083,3418.5591751529605,1530.830915254247,77.86954740927588,2.233139624427556,198.57034890434028,1839454922,198.5703489045752
CAND_0030,Sha Tin,22.3813605,114.2220085,22.381170000000044,114.2223100000004,Medium Priority,0.12421550823103572,0.6793220043182373,0.3722162868342042,0.0,0.12863988510307212,0.0,0.0,0,0,100.1829326148557,3286.191149621708,1911.949772445816,97.98082378712527,1.7187643718369894,2288.5919536725214,11121644936,37.54588548267927
CAND_0031,Kwai Tsing,22.3364829,114.1081494,22.336480000000048,114.10643000000016,Medium Priority,0.10928230286065296,0.6864866614341736,0.36278768051261046,0.0,0.139767287230558,0.0,0.0,0,0,64.18242742084836,3165.148654758352,1417.6540356806554,106.88977289263676,2.232666486389026,1614.0275096511868,12624999493,176.84357633279882
CAND_0032,Kwai Tsing,22.3387057,114.0950845,22.33748000000005,114.09643000000013,Medium Priority,0.10553967162315234,0.6231439709663391,0.37645211710588966,0.0,0.12904481865286802,0.0,0.0,0,0,52.08719263975919,3281.786332885544,1435.0507616982682,105.172995858861,2.286878220950046,2845.274659708973,11011648277,194.2316397442169
CAND_0033,Kwai Tsing,22.3609602,114.0896609,22.36048000000008,114.08743000000008,Medium Priority,0.09335449791208084,0.6011355519294739,0.3764139489598911,0.0,0.13292191018542804,0.0,0.0,0,0,55.376538041751694,3239.6118139333216,1711.5799594471353,108.733627933071,1.8927610106978363,1711.5799594471353,4785998144,235.54404654291525
CAND_0034,Wan Chai,22.2728444,114.1660889,22.272040000000025,114.16716000000002,Medium Priority,0.08376947266609108,0.6937606334686279,0.3301704423610215,0.0,0.14529047633954176,0.0,0.0,0,0,66.69373127337987,3105.0680913263773,1305.7268284978163,80.42618111637456,2.3780380578521365,1444.1743666227246,257171718,141.94292708305883
CAND_0035,Sha Tin,22.3801305,114.2198107,22.37917000000004,114.22031000000038,Medium Priority,0.06801222692973719,0.6397395133972168,0.3374110156307561,0.0,0.1478435717642568,0.0,0.0,0,0,86.47910296639714,3077.295837183752,1540.5288043232738,96.85326834039488,1.9975581297459424,1917.1709855499792,6172759533,118.50067018996673
CAND_0036,Central & Western,22.2808678,114.1447047,22.279080000000032,114.14587000000016,Medium Priority,0.05284448970086905,0.7040174007415771,0.3009938129546665,0.0,0.15906109615217243,0.0,0.0,0,0,75.4682301508613,2955.273003592618,1182.1092014370472,79.92672223270856,2.5,2091.3820817106525,1680951625,232.15420173292188
