district,lon,lat,nearest_stop_dist_m,road_nearest_stop_dist_m,effective_walk_dist_m,cell_population,terrain_penalty,nearest_ramp_dist_m,road_nearest_ramp_dist_m,is_remote_cell,distance_mode,remote_policy
Tai Po,114.21194000000048,22.430600000000045,375.71072941189124,375.71072941189124,375.71072941189124,46.2845532149788,1.0,329.52226078531066,329.52226078531066,False,road_network,exclude_remote
Tai Po,114.21294000000049,22.430600000000045,467.6940215011742,467.6940215011742,467.6940215011742,44.02033735084238,1.0,421.5055528745936,421.5055528745936,False,road_network,exclude_remote
Tai Po,114.24894000000066,22.430600000000045,587.0111040596929,587.0111040596929,736.1319523960047,37.103543273956575,1.2540341184434354,122.22904351763482,122.22904351763482,False,road_network,exclude_remote
Tai Po,114.24994000000066,22.430600000000045,613.1666734866856,613.1666734866856,726.1551004808185,37.707912442311425,1.18427033281447,148.38461294462746,148.38461294462746,False,road_network,exclude_remote
Tai Po,114.25094000000067,22.430600000000045,252.03423412807985,252.03423412807985,292.1930947899321,47.11446341580948,1.1593389120362283,266.56848814132206,266.56848814132206,False,road_network,exclude_remote
Tai Po,114.25194000000067,22.430600000000045,150.3549611623714,150.3549611623714,178.40331546784913,51.006761102411296,1.1865475810617763,164.88921517561366,164.88921517561366,False,road_network,exclude_remote
Tai Po,114.25294000000068,22.430600000000045,35.76405571891272,35.76405571891272,44.634855352338256,56.934134964649594,1.2480367356304751,94.6140679144185,94.6140679144185,False,road_network,exclude_remote
Tai Po,114.25394000000068,22.430600000000045,80.10908127019597,80.10908127019597,97.15096905870833,54.48186457044102,1.212733531808118,169.1646686707855,169.1646686707855,False,road_network,exclude_remote
Tai Po,114.25494000000069,22.430600000000045,162.80823210291123,162.80823210291123,202.63251455748633,49.520929549269454,1.2446085307860977,153.78737490041917,153.78737490041917,False,road_network,exclude_remote
Tai Po,114.25594000000069,22.430600000000045,50.13809134922954,50.13809134922954,55.323135530801544,55.832958450766796,1.2538809869910614,1.6438924998667641,1.6438924998667641,False,road_network,exclude_remote
Tai Po,114.2569400000007,22.430600000000045,79.08625533971458,79.08625533971458,100.76736756022842,53.652567893093845,1.2741451359326945,144.4101985065111,144.4101985065111,False,road_network,exclude_remote
Tai Po,114.2579400000007,22.430600000000045,320.1076422467376,320.1076422467376,398.48863473876935,43.480937702006564,1.2448582356294262,379.4614979974883,379.4614979974883,False,road_network,exclude_remote
Tai Po,114.2589400000007,22.430600000000045,266.76655217028696,266.76655217028696,336.2397649976498,45.02747685035262,1.2604269997949948,326.12040792103767,326.12040792103767,False,road_network,exclude_remote
Tai Po,114.25994000000071,22.430600000000045,180.4311279743477,180.4311279743477,200.35132011991774,50.88729076199801,1.1104033010778613,483.23030521565784,483.23030521565784,False,road_network,exclude_remote
Tai Po,114.26094000000072,22.430600000000045,203.8954582911803,203.8954582911803,227.76080981574944,49.745032009201054,1.1170469991071963,598.167111485224,598.167111485224,False,road_network,exclude_remote
Tai Po,114.26194000000072,22.430600000000045,523.5178556207779,523.5178556207779,582.8755363503011,40.556974683751996,1.113382342344633,917.7895088148217,917.7895088148217,False,road_network,exclude_remote
Tai Po,114.26294000000073,22.430600000000045,639.6228102388058,639.6228102388058,712.3637954027378,38.474414413590715,1.1137248140615466,1033.8944634328495,1033.8944634328495,False,road_network,exclude_remote
Tai Po,114.26394000000073,22.430600000000045,704.7942831568927,704.7942831568927,790.4073698723793,37.34494081924323,1.121472447721924,1099.0659363509365,1099.0659363509365,False,road_network,exclude_remote
Tai Po,114.26494000000073,22.430600000000045,800.0915553108422,800.0915553108422,906.9036947059855,35.86327769301019,1.1334998959633387,1194.363208504886,1194.363208504886,False,road_network,exclude_remote
Tai Po,114.26594000000074,22.430600000000045,900.2467950293649,900.2467950293649,1015.0650302937447,34.82038617344586,1.1275408431313934,1294.5184482234088,1294.5184482234088,False,road_network,exclude_remote
Tai Po,114.26694000000074,22.430600000000045,459.5766726459285,459.5766726459285,547.0439326039893,40.610858007436335,1.1903213656482694,1929.0457809150066,1929.0457809150066,False,road_network,exclude_remote
