osm_id,osm_type,lat,lon,ramp,kerb,wheelchair,highway
2630508617,node,22.3641245,114.0150256,,,yes,bus_stop
2630508654,node,22.3650605,114.0133422,,,yes,bus_stop
2630508659,node,22.3656608,114.0124313,,,yes,bus_stop
2630508740,node,22.3660542,114.0056036,,,yes,bus_stop
2630508744,node,22.3663894,114.0063386,,,yes,bus_stop
2637779933,node,22.4072269,113.9786314,,,yes,bus_stop
2639465084,node,22.4066141,114.2196961,,flush,,crossing
2639465558,node,22.4267382,114.2338281,,lowered,,
2640699288,node,22.4217292,114.2286145,,,yes,bus_stop
2640699294,node,22.4217942,114.2285205,,,yes,bus_stop
2640699301,node,22.4218128,114.2284937,,,yes,bus_stop
2640700473,node,22.4221895,114.231197,,,yes,
2640700497,node,22.4224076,114.2286632,,,yes,
2663216668,node,22.4990429,114.0783984,,,yes,
2663218018,node,22.4958,114.08552,,,yes,
2683614968,node,22.5627828,113.8773355,,,yes,
2689360307,node,22.3390699,114.1869992,,,yes,
2690901316,node,22.3379125,114.2023145,,,yes,bus_stop
2690901321,node,22.3379317,114.2022791,,,yes,bus_stop
2690901326,node,22.3379503,114.202244,,,yes,bus_stop
2690901337,node,22.338542,114.2010152,,,yes,bus_stop
2690901542,node,22.3370697,114.20434,,lowered,,
2690901572,node,22.3372476,114.2031258,,lowered,,
2690901587,node,22.3372962,114.2031663,,lowered,,
2690901593,node,22.3372947,114.2035055,,lowered,,
2690986699,node,22.3402984,114.1946018,,flush,,crossing
2703686815,node,22.3583631,114.1074287,,,yes,
2717008511,node,22.3782241,114.1347542,,,yes,elevator
2717008552,node,22.3784177,114.1350373,,,yes,elevator
2717049247,node,22.4271047,114.1963933,,flush,,crossing
2719226732,node,22.2834252,114.1923941,,,yes,bus_stop
2719226734,node,22.2834887,114.1924138,,,yes,bus_stop
2719226740,node,22.2836513,114.192464,,,yes,bus_stop
2719226764,node,22.2853659,114.192278,,,yes,bus_stop
2719226766,node,22.285368,114.192318,,,yes,bus_stop
2736584272,node,22.3887793,113.9204745,,flush,,crossing
2875698709,node,22.3214336,114.1665754,,,yes,
2935664494,node,22.2817207,114.1284836,,,yes,
2958865902,node,22.2799674,114.1855828,,,yes,bus_stop
2958865903,node,22.280009,114.18545,,,yes,bus_stop
2958865904,node,22.2800396,114.1853521,,,yes,bus_stop
2958865905,node,22.2800642,114.1852733,,,yes,bus_stop
2958865914,node,22.2799859,114.1855237,,,yes,bus_stop
2999564343,node,22.3335971,114.1633165,,flush,,
2999564346,node,22.3336012,114.1633259,,flush,,
3005305738,node,22.2804775,114.2247218,,lowered,,crossing
3005306176,node,22.2836277,114.2158226,,lowered,,
3005306179,node,22.2836393,114.2164279,,lowered,,
3013852345,node,22.310603,114.2384825,,flush,,crossing
3013852447,node,22.3114458,114.2381118,,flush,,crossing
3013871551,node,22.3113011,114.2275413,,,yes,bus_stop
3013871563,node,22.3118786,114.2284818,,,yes,
3017363987,node,22.2823193,114.1909953,,,yes,
3017941676,node,22.3784682,114.1992244,,lowered,,
3017941682,node,22.3785875,114.1990576,,lowered,,
3017944547,node,22.3843248,114.2065639,,lowered,,
3035847802,node,22.3920726,114.199083,,,yes,
3035848237,node,22.4180757,114.2022696,,flush,,crossing
3035866984,node,22.4294489,114.203776,,,yes,bus_stop
3035866985,node,22.4294858,114.2033345,,,yes,bus_stop
3035867235,node,22.3821567,114.1898998,,,yes,bus_stop
3035867236,node,22.3822934,114.1897347,,,yes,bus_stop
3035867237,node,22.3823794,114.1896307,,,yes,bus_stop
3035867238,node,22.3824565,114.1895377,,,yes,bus_stop
3035882934,node,22.3735958,114.1788311,,,yes,
3035938148,node,22.3766684,114.2120056,,,yes,bus_stop
3035938149,node,22.3767384,114.2119288,,,yes,bus_stop
3035938150,node,22.3767985,114.2118545,,,yes,bus_stop
3035938151,node,22.3768598,114.2117858,,,yes,bus_stop
3035938152,node,22.3768758,114.2117673,,,yes,bus_stop
3047969103,node,22.3681005,114.1209984,,,yes,
3047969551,node,22.370166,114.1010971,,lowered,,
3047970444,node,22.3743926,114.1157953,,lowered,,crossing
3048004340,node,22.3705477,114.1238132,,,yes,bus_stop
3048004359,node,22.3785985,114.1086546,,,yes,bus_stop
3048004379,node,22.3683774,114.1144438,,,yes,bus_stop
3049050101,node,22.2811047,114.189378,,,yes,
3049050113,node,22.2811282,114.1900221,,,yes,bus_stop
3049050114,node,22.2811348,114.1900318,,,yes,bus_stop
3049050115,node,22.2811916,114.1901155,,,yes,bus_stop
