lat,lon,elevation_m
22.571667712946414,113.93118060594402,0.0
22.571670673722682,113.93312529560576,0.0
22.571673610968944,113.93506998559265,0.0
22.571676524685174,113.93701467590209,0.0
22.571679414871365,113.93895936653149,0.0
22.57168228152747,113.94090405747829,0.0
22.57168512465351,113.94284874873992,0.0
22.57168794424946,113.94479344031377,0.0
22.571690740315304,113.94673813219727,0.0
22.57169351285101,113.94868282438783,0.0
22.571696261856584,113.95062751688288,0.0
22.571698987332,113.95257220967983,0.0
22.57170168927724,113.95451690277612,0.0
22.571704367692313,113.95646159616912,0.0
22.571707022577172,113.95840628985633,0.0
22.57170965393183,113.96035098383508,0.0
22.571712261756254,113.96229567810285,0.0
22.571714846050433,113.96424037265703,0.0
22.571717406814354,113.96618506749503,0.0
22.571719944048017,113.96812976261431,0.0
22.571722457751388,113.97007445801226,0.0
22.571724947924462,113.97201915368629,0.0
22.571727414567228,113.97396384963385,0.0
22.571729857679664,113.97590854585232,0.0
22.57173227726177,113.97785324233914,0.0
22.571734673313518,113.97979793909172,0.0
22.57173704583491,113.98174263610751,0.0
22.571739394825922,113.98368733338388,0.0
22.571741720286553,113.98563203091828,0.0
22.571744022216773,113.98757672870813,0.0
22.571746300616574,113.98952142675083,0.0
22.571748555485946,113.99146612504381,0.0
22.57175078682489,113.99341082358448,0.0
22.57175299463338,113.99535552237029,0.0
22.571755178911413,113.99730022139862,0.0
22.57175733965895,113.99924492066691,0.0
22.571759476876014,114.00118962017257,0.0
22.57176159056259,114.003134319913,0.0
22.571763680718632,114.00507901988566,0.0
22.571765747344173,114.00702372008793,0.0
22.57176779043917,114.00896842051726,0.0
22.571769810003627,114.01091312117106,0.0
22.57177180603752,114.01285782204673,0.0
22.57177377854086,114.01480252314173,0.0
22.571775727513614,114.01674722445341,0.0
22.57177765295579,114.01869192597925,0.0
22.57177955486736,114.02063662771664,0.0
22.571781433248344,114.02258132966301,0.0
22.571783288098676,114.0245260318158,0.0
22.571785119418397,114.02647073417236,0.0
22.571786927207473,114.02841543673019,0.0
22.571788711465917,114.03036013948665,0.0
22.57179047219368,114.03230484243917,0.0
22.571792209390793,114.0342495455852,0.0
22.571793923057218,114.03619424892213,0.0
22.571795613192972,114.03813895244738,0.0
22.57179727979801,114.04008365615839,0.0
22.57179892287236,114.04202836005254,0.0
22.571800542415982,114.04397306412727,0.0
22.571802138428904,114.04591776838002,0.0
22.571803710911077,114.04786247280819,0.0
22.571805259862508,114.04980717740919,0.0
22.571806785283197,114.05175188218044,0.0
22.57180828717315,114.05369658711938,0.0
22.571809765532304,114.05564129222338,0.0
22.5718112203607,114.05758599748992,0.0
22.57181265165832,114.05953070291639,0.0
22.571814059425147,114.0614754085002,0.0
22.57181544366117,114.06342011423877,0.0
22.571816804366396,114.06536482012953,0.0
22.57181814154081,114.0673095261699,0.0
22.571819455184407,114.06925423235728,0.0
22.57182074529717,114.07119893868912,0.0
22.571822011879114,114.07314364516282,0.0
22.571823254930223,114.07508835177578,0.0
22.571824474450477,114.07703305852546,0.0
22.57182567043987,114.07897776540923,0.0
22.571826842898407,114.08092247242455,0.0
22.57182799182608,114.08286717956882,0.0
22.57182911722289,114.08481188683946,0.0
22.57183021908882,114.0867565942339,0.0
22.57183129742385,114.08870130174955,0.0
22.571832352227997,114.0906460093838,0.0
22.571833383501254,114.09259071713412,0.0
22.571834391243602,114.0945354249979,0.0
22.571835375455045,114.09648013297256,0.0
22.571836336135572,114.09842484105553,0.0
22.571837273285194,114.1003695492442,0.0
22.57183818690387,114.10231425753604,0.0
22.57183907699164,114.10425896592841,0.0
22.57183994354847,114.10620367441877,0.0
22.571840786574366,114.10814838300452,0.0
22.57184160606931,114.11009309168308,0.0
22.571842402033315,114.11203780045186,0.0
22.57184317446637,114.11398250930831,0.0
22.57184392336846,114.11592721824982,0.0
22.571844648739603,114.11787192727382,0.0
22.57184535057977,114.11981663637772,0.0
22.571846028888974,114.12176134555897,0.0
22.571846683667204,114.12370605481492,0.0
22.571847314914468,114.12565076414306,0.0
22.571847922630752,114.12759547354077,0.0
22.571848506816053,114.12954018300549,0.0
22.571849067470367,114.13148489253462,0.0
22.571849604593694,114.13342960212557,0.0
22.571850118186035,114.13537431177579,0.0
22.57185060824738,114.1373190214827,0.0
22.57185107477772,114.13926373124367,0.0
22.571851517777073,114.14120844105616,0.0
22.571851937245405,114.14315315091758,0.0
22.571852333182747,114.14509786082535,0.0
22.571852705589098,114.14704257077688,0.0
22.571853054464427,114.14898728076959,0.0
22.571853379808736,114.15093199080091,0.0
22.57185368162205,114.15287670086826,0.0
22.571853959904335,114.15482141096903,0.0
